...1,doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,person,session,subject,X
12,1113,24,19,And following that recommendation we accepted a rash amendment on the floor of Increasing the commitment with the treasurer and not to be rash with it but the people understand people who are mostly killed in churches and and either way should not pass to amend a resolution for the Council You're not with it.,rash,treasurer,treasurer,adj,FALSE,rash,cabnc_utts_udpipe,rash,treasur,adult,NA,NA,NA
13,1182,148,150,In addition to that you get depreciation of one thousand one hundred and forty four pound per year which by my reckoning is ninety five pound a month in addition to that as a Methodist Minister you get a standing charge of five hundred and twenty eight pound per year which is forty four pound pe er per month and then you also through i in the year if you have a major repair needed on your car you get a hundred and eight pound now if in fact I had I have a Vauxhall Nova and let me take these figures as you are at twenty four P a mile or twenty four point five P a mile and if that's all we are recommended recommending in other words there's no lump sum at all er that would mean that I would be getting forty nine pound but Methodist this colleague in Llandudno if he did.,forty,pound,pound,adj,FALSE,forty,cabnc_utts_udpipe,forti,pound,adult,NA,NA,NA
14,1231,5,6,You will all find yellow sheets of paper if wondering why we're reading about the Mid-Wales district council erm I think unanimously wish to put this nomination of reverence in the past erm and the nomination for moderator of general assembly from ninety three to ninety four,yellow,sheets,sheet,adj,TRUE,yellow,cabnc_utts_udpipe,yellow,sheet,adult,NA,NA,NA
15,1505,35,36,In fact we're wondering whether it's going to be possible to keep it up but the trouble is it's in an area where in the last ooh over over recent years forty chapels have closed.,forty,chapels,chapel,adj,TRUE,forty,cabnc_utts_udpipe,forti,chapel,adult,NA,NA,NA
16,1784,8,7,It's a sub-directory of the root directory it's alright.,directory,root,root,adj,FALSE,directory,cabnc_utts_udpipe,directori,root,adult,NA,NA,NA
17,1795,3,5,Printers no print yes printer will be the same won't it Speller.,print,printer,printer,adj,FALSE,print,cabnc_utts_udpipe,print,printer,adult,NA,NA,NA
18,2060,5,6,She was a very sweet person.,sweet,person,person,adj,TRUE,sweet,cabnc_utts_udpipe,sweet,person,adult,NA,NA,NA
19,2475,113,114,He says well I'm not paying you for it he says you put it on and it don't work he says well we want it back he says well you take it back and put my parts on that you took off he says we can't he says well I'm not paying you hundred and forty pound for a part that don't work and he says anyway he says er are you sure it's a hundred and forty pound he said an oil filter cost ten pound at some places but they're actually only two so if you di divide it by five that's forty pounds he says I'll pay you forty pound but I'm not paying you no hundred and forty he said.,forty,pounds,pound,adj,TRUE,forty,cabnc_utts_udpipe,forti,pound,adult,NA,NA,NA
20,2475,121,122,He says well I'm not paying you for it he says you put it on and it don't work he says well we want it back he says well you take it back and put my parts on that you took off he says we can't he says well I'm not paying you hundred and forty pound for a part that don't work and he says anyway he says er are you sure it's a hundred and forty pound he said an oil filter cost ten pound at some places but they're actually only two so if you di divide it by five that's forty pounds he says I'll pay you forty pound but I'm not paying you no hundred and forty he said.,forty,pound,pound,adj,TRUE,forty,cabnc_utts_udpipe,forti,pound,adult,NA,NA,NA
21,2641,4,6,Where's your dish cloth mum.,dish,mum,mum,adj,FALSE,dish,cabnc_utts_udpipe,dish,mum,adult,NA,NA,NA
